week, cumTotOrders, cumCusOrders, cumStoreOrders, cumCost, curTotOrders, curCusOrders, curStoreOrders, curCost, currentCount
1, 16920, 9710, 7210, 72910.93595828605, 64, 34, 30, 297.742712474619, 35
51, 17044, 9744, 7300, 73265.6353548342, 124, 34, 90, 354.6993965481514, 36
1, 17121, 9791, 7330, 73579.36101860073, 77, 47, 30, 313.72566376652986, 48
1, 17157, 9827, 7330, 73836.50999287904, 36, 36, 0, 257.1489742783178, 36
1, 17197, 9867, 7330, 74100.99667881563, 40, 40, 0, 264.4866859365871, 40
1, 17239, 9909, 7330, 74368.96966831782, 42, 42, 0, 267.97298950218305, 42
51, 17362, 9942, 7420, 74722.7942395796, 123, 33, 90, 353.8245712617827, 35
1, 17405, 9985, 7420, 74992.4691997827, 43, 43, 0, 269.6749602031015, 43
1, 17481, 10031, 7450, 75305.02837215642, 76, 46, 30, 312.5591723737189, 47
1, 17515, 10065, 7450, 75558.30201243307, 34, 34, 0, 253.2736402766418, 34
1, 17556, 10106, 7450, 75824.54596587659, 41, 41, 0, 266.24395344352433, 41
51, 17711, 10141, 7570, 76201.69011841406, 155, 35, 120, 377.14415253747273, 38
1, 17757, 10187, 7570, 76476.31918712809, 46, 46, 0, 274.6290687140218, 46
1, 17832, 10232, 7600, 76787.70228276636, 75, 45, 30, 311.38309563827124, 46
51, 17963, 10273, 7690, 77148.41461098187, 131, 41, 90, 360.7123282155055, 43
1, 18006, 10316, 7690, 77418.08957118497, 43, 43, 0, 269.6749602031015, 43
1, 18083, 10363, 7720, 77731.8152349515, 77, 47, 30, 313.72566376652986, 48
1, 18171, 10411, 7760, 78056.79666631238, 88, 48, 40, 324.98143136087856, 49
51, 18283, 10443, 7840, 78401.71197865193, 112, 32, 80, 344.91531233955715, 34
1, 18314, 10474, 7840, 78648.87308482899, 31, 31, 0, 247.1611061770567, 31
1, 18421, 10511, 7910, 78990.09523009868, 107, 37, 70, 341.2221452697031, 39
1, 18452, 10542, 7910, 79237.25633627574, 31, 31, 0, 247.1611061770567, 31
51, 18548, 10588, 7960, 79569.5732522904, 96, 46, 50, 332.31691601465747, 47
1, 18652, 10622, 8030, 79907.91693904788, 104, 34, 70, 338.343686757474, 36
1, 18695, 10665, 8030, 80177.59189925098, 43, 43, 0, 269.6749602031015, 43
1, 18735, 10705, 8030, 80442.07858518757, 40, 40, 0, 264.4866859365871, 40
1, 18810, 10740, 8070, 80752.46168082584, 75, 35, 40, 310.38309563827124, 36
51, 18894, 10774, 8120, 81072.10169122936, 84, 34, 50, 319.64001040350905, 35
1, 18966, 10816, 8150, 81379.89675425374, 72, 42, 30, 307.79506302439404, 43
1, 19056, 10866, 8190, 81707.00378307785, 90, 50, 40, 327.1070288241023, 51
1, 19092, 10902, 8190, 81964.15275735616, 36, 36, 0, 257.1489742783178, 36
51, 19231, 10951, 8280, 82331.51591965741, 139, 49, 90, 367.36316230125203, 51
1, 19298, 10988, 8310, 82633.11647491503, 67, 37, 30, 301.6005552576305, 38
1, 19375, 11025, 8350, 82945.84213868156, 77, 37, 40, 312.72566376652986, 38
1, 19415, 11065, 8350, 83210.32882461815, 40, 40, 0, 264.4866859365871, 40
51, 19507, 11107, 8400, 83538.5329260864, 92, 42, 50, 328.20410146824725, 43
